"name";"old1";"old2";"old3";"res11";"res12";"res13";"res21";"res22";"res23"
"1";"z39z43z";3;2;2;3;2;4;0;0;0
"2";"z58z72z";8;8;3;8;8;8;0;0;0
"3";"z37z77z";10;10;5;10;10;10;0;0;0
"4";"z58z33z";10;10;4;10;10;10;0;0;0
"5";"z8z13z";4;4;4;4;4;8;0;0;0
"6";"z23z17z";7;7;6;7;7;7;0;0;0
"7";"z8z42z";12;12;7;12;12;10;0;0;0
"8";"z59z42z";13;13;6;13;13;12;0;0;0
"9";"z9z26z";6;6;4;6;6;6;0;0;0
"10";"z14z28z";13;14;6;13;14;13;0;0;0
"11";"z27z66z";7;6;3;7;6;6;0;0;0
"12";"z23z2z";9;10;6;9;10;10;0;0;0
"13";"z27z26z";8;9;5;8;9;7;0;0;0
"14";"z41z26z";3;3;3;3;3;8;0;0;0
"15";"z70z77z";9;8;2;9;8;8;0;0;0
"16";"z28z59z";14;13;4;13;13;13;0;0;0
"17";"z13z54z";14;15;6;14;15;14;0;0;0
"18";"z70z17z";13;14;7;13;14;13;0;0;0
"19";"z8z28z";4;3;2;4;3;3;0;0;0
"20";"z75z13z";7;5;4;7;5;5;0;0;0
"21";"z58z21z";7;7;2;7;7;7;0;0;0
"22";"z13z78z";14;14;5;14;14;14;0;0;0
"23";"z37z54z";4;4;4;4;4;4;0;0;0
"24";"z13z40z";14;14;7;14;14;13;0;0;0
"25";"z28z42z";8;8;5;8;8;6;0;0;0
"26";"z28z42z";8;8;5;8;8;7;0;0;0
"27";"z59z2z";3;3;3;3;3;3;0;0;0
"28";"z58z3z";4;4;2;4;4;4;0;0;0
"29";"z8z13z";4;4;4;4;4;4;0;0;0
"30";"z14z59z";4;4;4;4;4;6;0;0;0
"31";"z41z40z";13;4;2;13;4;4;0;0;0
"32";"z13z77z";9;9;3;9;9;9;0;0;0
"33";"z36z77z";9;9;6;9;9;9;0;0;0
"34";"z27z26z";8;9;5;8;9;7;0;0;0
"35";"z46z13z";14;13;3;14;13;13;0;0;0
"36";"z75z59z";16;6;5;16;6;16;0;0;0
"37";"z58z78z";14;13;5;14;13;14;0;0;0
"38";"z58z51z";3;3;1;3;3;3;0;0;0
"39";"z37z77z";10;10;5;10;10;10;0;0;0
"40";"z37z73z";9;8;3;9;8;8;0;0;0
"41";"z70z66z";10;9;2;10;9;9;0;0;0
"42";"z28z13z";13;14;6;13;14;13;0;0;0
"43";"z14z33z";9;9;3;9;9;9;0;0;0
"44";"z75z78z";7;6;2;7;6;7;0;0;0
"45";"z58z17z";8;9;5;8;9;8;0;0;0
"46";"z70z78z";9;10;4;9;10;9;0;0;0
"47";"z39z54z";12;13;6;12;13;11;0;0;0
"48";"z40z23z";11;12;5;11;12;12;0;0;0
"49";"z59z43z";3;1;0;3;1;3;0;0;0
"50";"z75z73z";9;9;3;9;9;9;0;0;0
"51";"z75z66z";8;8;3;8;8;8;0;0;0
"52";"z40z73z";13;14;6;13;14;13;0;0;0
"53";"z38z26z";3;3;2;3;3;4;0;0;0
"54";"z40z42z";11;11;5;11;11;10;0;0;0
"55";"z58z17z";8;9;5;8;9;9;0;0;0
"56";"z27z77z";4;4;3;4;4;4;0;0;0
"57";"z40z78z";8;8;6;8;8;11;0;0;0
"58";"z55z40z";8;8;4;8;8;8;0;0;0
"59";"z37z51z";7;5;4;7;5;5;0;0;0
"60";"z28z40z";11;10;5;11;10;10;0;0;0
